timestamp,timestamp,timestamp,timestamp,seq_num,tick_type,ask_exchange,bid_exchange,bid_price,bid_size,ask_price,ask_size
2021-06-23 14:41:19.423418567+00:00,2021-06-23 14:41:19.423418567+00:00,2021-06-23 14:41:19.423418567+00:00,2021-06-23 14:41:19.423418567+00:00,371,Q,EDGX,NASDAQ_FUTURES,1.17,178,1.19,68
2021-06-23 14:41:19.423424850+00:00,2021-06-23 14:41:19.423424850+00:00,2021-06-23 14:41:19.423424850+00:00,2021-06-23 14:41:19.423424850+00:00,372,Q,EDGX,NASDAQ_FUTURES,1.17,179,1.19,68
2021-06-23 14:41:19.423446880+00:00,2021-06-23 14:41:19.423446880+00:00,2021-06-23 14:41:19.423446880+00:00,2021-06-23 14:41:19.423446880+00:00,373,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,179,1.18,1
2021-06-23 14:41:19.423450646+00:00,2021-06-23 14:41:19.423450646+00:00,2021-06-23 14:41:19.423450646+00:00,2021-06-23 14:41:19.423450646+00:00,374,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,179,1.18,2
2021-06-23 14:41:19.423468514+00:00,2021-06-23 14:41:19.423468514+00:00,2021-06-23 14:41:19.423468514+00:00,2021-06-23 14:41:19.423468514+00:00,375,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,178,1.18,2
2021-06-23 14:41:19.424028930+00:00,2021-06-23 14:41:19.424028930+00:00,2021-06-23 14:41:19.424028930+00:00,2021-06-23 14:41:19.424028930+00:00,376,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,177,1.18,2
2021-06-23 14:41:19.424153536+00:00,2021-06-23 14:41:19.424153536+00:00,2021-06-23 14:41:19.424153536+00:00,2021-06-23 14:41:19.424153536+00:00,377,Q,EDGX,NASDAQ_FUTURES,1.17,177,1.19,68
2021-06-23 14:41:19.424153536+00:00,2021-06-23 14:41:19.424153536+00:00,2021-06-23 14:41:19.424153536+00:00,2021-06-23 14:41:19.424153536+00:00,378,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,177,1.18,1
2021-06-23 14:41:19.424180759+00:00,2021-06-23 14:41:19.424180759+00:00,2021-06-23 14:41:19.424180759+00:00,2021-06-23 14:41:19.424180759+00:00,379,Q,EDGX,NASDAQ_FUTURES,1.17,178,1.19,68
2021-06-23 14:41:19.424195121+00:00,2021-06-23 14:41:19.424195121+00:00,2021-06-23 14:41:19.424195121+00:00,2021-06-23 14:41:19.424195121+00:00,380,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,178,1.18,1
2021-06-23 14:41:19.424197081+00:00,2021-06-23 14:41:19.424197081+00:00,2021-06-23 14:41:19.424197081+00:00,2021-06-23 14:41:19.424197081+00:00,381,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,178,1.18,2
2021-06-23 14:41:19.424217773+00:00,2021-06-23 14:41:19.424217773+00:00,2021-06-23 14:41:19.424217773+00:00,2021-06-23 14:41:19.424217773+00:00,382,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,177,1.18,2
2021-06-23 14:41:19.453397674+00:00,2021-06-23 14:41:19.453397674+00:00,2021-06-23 14:41:19.453397674+00:00,2021-06-23 14:41:19.453397674+00:00,383,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,176,1.18,2
2021-06-23 14:41:20.713264498+00:00,2021-06-23 14:41:20.713264498+00:00,2021-06-23 14:41:20.713264498+00:00,2021-06-23 14:41:20.713264498+00:00,384,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,176,1.18,1
2021-06-23 14:41:29.002696082+00:00,2021-06-23 14:41:29.002696082+00:00,2021-06-23 14:41:29.002696082+00:00,2021-06-23 14:41:29.002696082+00:00,385,Q,EDGX,NASDAQ_FUTURES,1.17,176,1.19,68
2021-06-23 14:41:29.019583453+00:00,2021-06-23 14:41:29.019583453+00:00,2021-06-23 14:41:29.019583453+00:00,2021-06-23 14:41:29.019583453+00:00,386,Q,EDGX,NASDAQ_FUTURES,1.17,175,1.19,68
2021-06-23 14:41:33.430338+00:00,2021-06-23 14:41:33.430338+00:00,2021-06-23 14:41:33.430338+00:00,2021-06-23 14:41:33.430338+00:00,387,Q,EDGX,EDGX,1.18,25,1.19,68
2021-06-23 14:42:05.883943+00:00,2021-06-23 14:42:05.883943+00:00,2021-06-23 14:42:05.883943+00:00,2021-06-23 14:42:05.883943+00:00,388,Q,EDGX,EDGX,1.18,1,1.19,68
2021-06-23 14:42:06.086351+00:00,2021-06-23 14:42:06.086351+00:00,2021-06-23 14:42:06.086351+00:00,2021-06-23 14:42:06.086351+00:00,389,Q,EDGX,BATS,1.18,3,1.19,68
2021-06-23 14:43:25.146418+00:00,2021-06-23 14:43:25.146418+00:00,2021-06-23 14:43:25.146418+00:00,2021-06-23 14:43:25.146418+00:00,390,Q,EDGX,BATS,1.18,2,1.19,68
2021-06-23 14:43:25.151473+00:00,2021-06-23 14:43:25.151473+00:00,2021-06-23 14:43:25.151473+00:00,2021-06-23 14:43:25.151473+00:00,391,Q,EDGX,EDGX,1.18,1,1.19,68
2021-06-23 14:43:49.820070+00:00,2021-06-23 14:43:49.820070+00:00,2021-06-23 14:43:49.820070+00:00,2021-06-23 14:43:49.820070+00:00,392,Q,EDGX,EDGX,1.18,2,1.19,68
2021-06-23 14:44:01.163543943+00:00,2021-06-23 14:44:01.163543943+00:00,2021-06-23 14:44:01.163543943+00:00,2021-06-23 14:44:01.163543943+00:00,393,Q,EDGX,NASDAQ_FUTURES,1.18,3,1.19,68
2021-06-23 14:44:57.222725789+00:00,2021-06-23 14:44:57.222725789+00:00,2021-06-23 14:44:57.222725789+00:00,2021-06-23 14:44:57.222725789+00:00,394,Q,EDGX,EDGX,1.18,2,1.19,68
2021-06-23 14:44:57.223374198+00:00,2021-06-23 14:44:57.223374198+00:00,2021-06-23 14:44:57.223374198+00:00,2021-06-23 14:44:57.223374198+00:00,395,Q,EDGX,NASDAQ_FUTURES,1.18,3,1.19,68
2021-06-23 14:44:58.390453285+00:00,2021-06-23 14:44:58.390453285+00:00,2021-06-23 14:44:58.390453285+00:00,2021-06-23 14:44:58.390453285+00:00,396,Q,EDGX,EDGX,1.18,2,1.19,68
2021-06-23 14:45:01.699939+00:00,2021-06-23 14:45:01.699939+00:00,2021-06-23 14:45:01.699939+00:00,2021-06-23 14:45:01.699939+00:00,397,Q,EDGX,EDGX,1.18,3,1.19,68
2021-06-23 14:45:01.704637+00:00,2021-06-23 14:45:01.704637+00:00,2021-06-23 14:45:01.704637+00:00,2021-06-23 14:45:01.704637+00:00,398,Q,EDGX,NASDAQ_FUTURES,1.18,2,1.19,68
2021-06-23 14:45:59.936397374+00:00,2021-06-23 14:45:59.936397374+00:00,2021-06-23 14:45:59.936397374+00:00,2021-06-23 14:45:59.936397374+00:00,399,Q,EDGX,NASDAQ_FUTURES,1.18,5,1.19,68
2021-06-23 14:47:23.434583+00:00,2021-06-23 14:47:23.434583+00:00,2021-06-23 14:47:23.434583+00:00,2021-06-23 14:47:23.434583+00:00,400,Q,EDGX,EDGX,1.18,27,1.19,68
2021-06-23 14:48:24.476927+00:00,2021-06-23 14:48:24.476927+00:00,2021-06-23 14:48:24.476927+00:00,2021-06-23 14:48:24.476927+00:00,401,Q,EDGX,EDGX,1.18,27,1.19,83
2021-06-23 14:48:36.506093+00:00,2021-06-23 14:48:36.506093+00:00,2021-06-23 14:48:36.506093+00:00,2021-06-23 14:48:36.506093+00:00,402,Q,EDGX,EDGX,1.18,27,1.19,85
2021-06-23 14:49:22.996313+00:00,2021-06-23 14:49:22.996313+00:00,2021-06-23 14:49:22.996313+00:00,2021-06-23 14:49:22.996313+00:00,403,Q,EDGX,EDGX,1.18,27,1.19,69
2021-06-23 14:53:01.394578+00:00,2021-06-23 14:53:01.394578+00:00,2021-06-23 14:53:01.394578+00:00,2021-06-23 14:53:01.394578+00:00,404,Q,EDGX,EDGX,1.18,27,1.19,70
2021-06-23 14:53:59.528011+00:00,2021-06-23 14:53:59.528011+00:00,2021-06-23 14:53:59.528011+00:00,2021-06-23 14:53:59.528011+00:00,405,Q,EDGX,EDGX,1.18,26,1.19,70
2021-06-23 14:53:59.528011+00:00,2021-06-23 14:53:59.528011+00:00,2021-06-23 14:53:59.528011+00:00,2021-06-23 14:53:59.528011+00:00,406,Q,EDGX,BATS,1.18,3,1.19,70
2021-06-23 14:53:59.528133+00:00,2021-06-23 14:53:59.528133+00:00,2021-06-23 14:53:59.528133+00:00,2021-06-23 14:53:59.528133+00:00,407,Q,EDGX,BATS,1.18,3,1.19,71
2021-06-23 14:53:59.528326+00:00,2021-06-23 14:53:59.528326+00:00,2021-06-23 14:53:59.528326+00:00,2021-06-23 14:53:59.528326+00:00,408,Q,EDGX,BATS,1.18,2,1.19,71
2021-06-23 14:53:59.535131606+00:00,2021-06-23 14:53:59.535131606+00:00,2021-06-23 14:53:59.535131606+00:00,2021-06-23 14:53:59.535131606+00:00,409,Q,EDGX,NASDAQ_FUTURES,1.18,3,1.19,71
2021-06-23 14:53:59.558134+00:00,2021-06-23 14:53:59.558134+00:00,2021-06-23 14:53:59.558134+00:00,2021-06-23 14:53:59.558134+00:00,410,Q,EDGX,NASDAQ_FUTURES,1.18,3,1.19,70
2021-06-23 14:55:12.579229079+00:00,2021-06-23 14:55:12.579229079+00:00,2021-06-23 14:55:12.579229079+00:00,2021-06-23 14:55:12.579229079+00:00,411,Q,EDGX,BATS,1.18,2,1.19,70
2021-06-23 14:55:12.579483+00:00,2021-06-23 14:55:12.579483+00:00,2021-06-23 14:55:12.579483+00:00,2021-06-23 14:55:12.579483+00:00,412,Q,EDGX,Arca,1.18,1,1.19,70
2021-06-23 14:55:12.579591+00:00,2021-06-23 14:55:12.579591+00:00,2021-06-23 14:55:12.579591+00:00,2021-06-23 14:55:12.579591+00:00,413,Q,EDGX,Arca,1.18,1,1.19,71
2021-06-23 14:55:12.579607552+00:00,2021-06-23 14:55:12.579607552+00:00,2021-06-23 14:55:12.579607552+00:00,2021-06-23 14:55:12.579607552+00:00,414,Q,EDGX,NASDAQ_FUTURES,1.17,174,1.19,71
2021-06-23 14:55:12.580040204+00:00,2021-06-23 14:55:12.580040204+00:00,2021-06-23 14:55:12.580040204+00:00,2021-06-23 14:55:12.580040204+00:00,415,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,174,1.18,15
2021-06-23 14:55:12.587250579+00:00,2021-06-23 14:55:12.587250579+00:00,2021-06-23 14:55:12.587250579+00:00,2021-06-23 14:55:12.587250579+00:00,416,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,176,1.18,15
2021-06-23 14:55:13.006396154+00:00,2021-06-23 14:55:13.006396154+00:00,2021-06-23 14:55:13.006396154+00:00,2021-06-23 14:55:13.006396154+00:00,417,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,174,1.18,15
2021-06-23 14:55:13.680282266+00:00,2021-06-23 14:55:13.680282266+00:00,2021-06-23 14:55:13.680282266+00:00,2021-06-23 14:55:13.680282266+00:00,418,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,174,1.18,16
2021-06-23 14:55:14.772541495+00:00,2021-06-23 14:55:14.772541495+00:00,2021-06-23 14:55:14.772541495+00:00,2021-06-23 14:55:14.772541495+00:00,419,Q,NASDAQ_FUTURES,NASDAQ_FUTURES,1.17,175,1.18,16
2021-06-23 14:56:14.513882+00:00,2021-06-23 14:56:14.513882+00:00,2021-06-23 14:56:14.513882+00:00,2021-06-23 14:56:14.513882+00:00,420,Q,EDGX,NASDAQ_FUTURES,1.17,175,1.18,7
2021-06-23 14:56:14.514002737+00:00,2021-06-23 14:56:14.514002737+00:00,2021-06-23 14:56:14.514002737+00:00,2021-06-23 14:56:14.514002737+00:00,421,Q,EDGX,NASDAQ_FUTURES,1.17,175,1.18,8
2021-06-23 14:56:14.514076921+00:00,2021-06-23 14:56:14.514076921+00:00,2021-06-23 14:56:14.514076921+00:00,2021-06-23 14:56:14.514076921+00:00,422,Q,EDGX,NASDAQ_FUTURES,1.17,176,1.18,8
2021-06-23 14:56:14.514090213+00:00,2021-06-23 14:56:14.514090213+00:00,2021-06-23 14:56:14.514090213+00:00,2021-06-23 14:56:14.514090213+00:00,423,Q,EDGX,NASDAQ_FUTURES,1.17,175,1.18,8
2021-06-23 14:56:21.451181371+00:00,2021-06-23 14:56:21.451181371+00:00,2021-06-23 14:56:21.451181371+00:00,2021-06-23 14:56:21.451181371+00:00,424,Q,EDGX,NASDAQ_FUTURES,1.17,174,1.18,7
2021-06-23 14:56:32.094793472+00:00,2021-06-23 14:56:32.094793472+00:00,2021-06-23 14:56:32.094793472+00:00,2021-06-23 14:56:32.094793472+00:00,425,Q,Arca,NASDAQ_FUTURES,1.17,174,1.18,9
2021-06-23 14:56:56.340508992+00:00,2021-06-23 14:56:56.340508992+00:00,2021-06-23 14:56:56.340508992+00:00,2021-06-23 14:56:56.340508992+00:00,426,Q,Arca,NASDAQ_FUTURES,1.17,176,1.18,9
2021-06-23 14:56:56.341331589+00:00,2021-06-23 14:56:56.341331589+00:00,2021-06-23 14:56:56.341331589+00:00,2021-06-23 14:56:56.341331589+00:00,427,Q,Arca,NASDAQ_FUTURES,1.17,174,1.18,9
2021-06-23 14:58:04.357424+00:00,2021-06-23 14:58:04.357424+00:00,2021-06-23 14:58:04.357424+00:00,2021-06-23 14:58:04.357424+00:00,428,Q,EDGX,NASDAQ_FUTURES,1.17,174,1.18,22
2021-06-23 15:04:14.409375288+00:00,2021-06-23 15:04:14.409375288+00:00,2021-06-23 15:04:14.409375288+00:00,2021-06-23 15:04:14.409375288+00:00,429,Q,EDGX,NASDAQ_FUTURES,1.17,175,1.18,22
