timestamp,timestamp,id,tick_type,exchange,price,size
2021-06-23 13:39:52.247000+00:00,2021-06-23 13:39:52.247000+00:00,30,T,FINRA,1.197,4329
2021-06-23 13:40:37.050000+00:00,2021-06-23 13:40:37.050000+00:00,32,T,FINRA,1.195,22
2021-06-23 13:40:41.053000+00:00,2021-06-23 13:40:41.053000+00:00,33,T,FINRA,1.195,25
2021-06-23 13:40:42.049000+00:00,2021-06-23 13:40:42.049000+00:00,34,T,FINRA,1.195,11
2021-06-23 13:42:25.212000+00:00,2021-06-23 13:42:25.212000+00:00,35,T,FINRA,1.2,1000
2021-06-23 13:42:53.305761+00:00,2021-06-23 13:42:53.305761+00:00,2,T,BYX,1.19,20
2021-06-23 13:42:53.305958+00:00,2021-06-23 13:42:53.305958+00:00,3,T,BYX,1.19,80
2021-06-23 13:42:58.292000+00:00,2021-06-23 13:42:58.292000+00:00,37,T,FINRA,1.195,14
2021-06-23 13:42:58.292000+00:00,2021-06-23 13:42:58.292000+00:00,38,T,FINRA,1.195,86
2021-06-23 13:42:58.293000+00:00,2021-06-23 13:42:58.293000+00:00,36,T,FINRA,1.195,2800
2021-06-23 13:43:01.278000+00:00,2021-06-23 13:43:01.278000+00:00,39,T,FINRA,1.1955,1000
2021-06-23 13:43:11.978000+00:00,2021-06-23 13:43:11.978000+00:00,40,T,FINRA,1.2,175
2021-06-23 13:43:45.347000+00:00,2021-06-23 13:43:45.347000+00:00,41,T,FINRA,1.1997,9
2021-06-23 13:43:52.830000+00:00,2021-06-23 13:43:52.830000+00:00,12,T,FINRA,1.195,100
2021-06-23 13:44:50.003002214+00:00,2021-06-23 13:44:50.003002214+00:00,2,T,IEX,1.195,25
2021-06-23 13:45:15.314000+00:00,2021-06-23 13:45:15.314000+00:00,13,T,FINRA,1.1921,1
2021-06-23 13:45:24.690000+00:00,2021-06-23 13:45:24.690000+00:00,42,T,FINRA,1.1975,3000
2021-06-23 13:45:24.695493+00:00,2021-06-23 13:45:24.695493+00:00,4,T,BYX,1.2,1
2021-06-23 13:45:55.612000+00:00,2021-06-23 13:45:55.612000+00:00,43,T,FINRA,1.195,100
2021-06-23 13:45:57.859000+00:00,2021-06-23 13:45:57.859000+00:00,44,T,FINRA,1.195,100
2021-06-23 13:46:00.152000+00:00,2021-06-23 13:46:00.152000+00:00,45,T,FINRA,1.195,51
